# n*frame_step, dG(n), sigma^2(n), Uncertainty(n) 
175 -7.337211E+00 1.055532E-01 2.725976E-01 
180 -7.344286E+00 1.082905E-01 2.800042E-01 
185 -7.326433E+00 1.139493E-01 2.911671E-01 
190 -7.346187E+00 1.006868E-01 2.773531E-01 
195 -7.341341E+00 1.132539E-01 2.979783E-01 
200 -7.322948E+00 1.022070E-01 2.866608E-01 
205 -7.363481E+00 8.877415E-02 2.704624E-01 
210 -7.322075E+00 1.095730E-01 3.041047E-01 
215 -7.343195E+00 8.651342E-02 2.734001E-01 
220 -7.320644E+00 1.004935E-01 2.980542E-01 
225 -7.360934E+00 7.947792E-02 2.680448E-01 
230 -7.345809E+00 8.642464E-02 2.825887E-01 
235 -7.360403E+00 6.892499E-02 2.550788E-01 
240 -7.354809E+00 7.485180E-02 2.686208E-01 
245 -7.353844E+00 6.558005E-02 2.540291E-01 
250 -7.372610E+00 7.550308E-02 2.753272E-01 
255 -7.339417E+00 7.305702E-02 2.735149E-01 
260 -7.374522E+00 7.048647E-02 2.712708E-01 
265 -7.365737E+00 6.677082E-02 2.665411E-01 
270 -7.362275E+00 6.882275E-02 2.731371E-01 
275 -7.369773E+00 5.347847E-02 2.429820E-01 
280 -7.353452E+00 6.451750E-02 2.692910E-01 
285 -7.381664E+00 6.205005E-02 2.664306E-01 
290 -7.360296E+00 5.771130E-02 2.591832E-01 
295 -7.370646E+00 5.125549E-02 2.463463E-01 
300 -7.362540E+00 5.248498E-02 2.513800E-01 
305 -7.379741E+00 4.885630E-02 2.445406E-01 
310 -7.364727E+00 5.279901E-02 2.562849E-01 
315 -7.397862E+00 4.346793E-02 2.344002E-01 
320 -7.376419E+00 4.744449E-02 2.468172E-01 
325 -7.353530E+00 4.703340E-02 2.476521E-01 
330 -7.381437E+00 4.780303E-02 2.515774E-01 
335 -7.377458E+00 4.119723E-02 2.353063E-01 
340 -7.387562E+00 4.054641E-02 2.351708E-01 
345 -7.376323E+00 3.543547E-02 2.214559E-01 
350 -7.388478E+00 4.696249E-02 2.567788E-01 
355 -7.375801E+00 4.224399E-02 2.452661E-01 
360 -7.362618E+00 3.456515E-02 2.234101E-01 
365 -7.376921E+00 4.091325E-02 2.447386E-01 
370 -7.395777E+00 2.951039E-02 2.092688E-01 
375 -7.394018E+00 3.051377E-02 2.142258E-01 
380 -7.382191E+00 3.505812E-02 2.311462E-01 
385 -7.394864E+00 3.258855E-02 2.243139E-01 
390 -7.364948E+00 3.574763E-02 2.364515E-01 
395 -7.412302E+00 2.718360E-02 2.075062E-01 
400 -7.375338E+00 3.274490E-02 2.291786E-01 
405 -7.377190E+00 3.589647E-02 2.414454E-01 
410 -7.366235E+00 3.478487E-02 2.391366E-01 
415 -7.377488E+00 3.645774E-02 2.463041E-01 
420 -7.400951E+00 2.577231E-02 2.083281E-01 
425 -7.386304E+00 2.794094E-02 2.182003E-01 
430 -7.392412E+00 2.724962E-02 2.167449E-01 
435 -7.383351E+00 3.298471E-02 2.398444E-01 
440 -7.389878E+00 2.484287E-02 2.093390E-01 
445 -7.382391E+00 3.071395E-02 2.340805E-01 
450 -7.387577E+00 2.451025E-02 2.102772E-01 
455 -7.394275E+00 2.284705E-02 2.041397E-01 
460 -7.383691E+00 2.219424E-02 2.023022E-01 
465 -7.367544E+00 2.952470E-02 2.345933E-01 
470 -7.393696E+00 2.480667E-02 2.161846E-01 
475 -7.401089E+00 2.009857E-02 1.956213E-01 
